tf	gene	mi	pvalue	category
FOXM1	ILF3	0.5396839517964587	7.471405856662727E-6	TCGA only up
FOXM1	NASP	0.3754609603961584	0.0	TCGA only up
FOXM1	NDE1	0.5547133604527905	0.0	TCGA only up
FOXM1	NONO	0.5258704483398277	0.0	TCGA only up
FOXM1	MDC1	0.5089191273770134	0.0	TCGA only up
E2F7	INCENP	0.5100268040964077	0.0	Concordant up
FOXM1	MSH2	0.4879560982416767	1.1052263205435509E-4	TCGA only up
FOXM1	MSH6	0.5343110777985753	0.001526822204491296	Concordant up
FOXM1	MTA2	0.4606279070163249	0.019601786741922922	TCGA only up
FOXM1	PHB2	0.48967604740290543	0.0	TCGA only up
FOXM1	PLK1	0.4862349730570818	0.0	Concordant up
FOXM1	INCENP	0.5608060586046691	0.0	Concordant up
FOXM1	RCC2	0.44963388491972145	0.001526822204491296	Concordant up
FOXM1	TPX2	0.5271265324261685	0.0	Concordant up
HMGA1	DCUN1D5	0.35597083259322104	0.0	Concordant up
FOXM1	TMPO	0.4766026445609536	1.1052263205435509E-4	TCGA only up
FOXM1	VRK1	0.4435283642438372	0.0	Concordant up
E2F7	RBBP4	0.5095583957243373	0.0	TCGA only up
FOXM1	LMNB2	0.4651507356510985	7.471405856662727E-6	Concordant up
CHCHD3	DNMT1	0.45356038547684524	7.471405856662727E-6	Concordant up
ZNF232	NOL11	0.4441269129622868	0.0	TCGA only up
CHCHD3	SYNCRIP	0.46283368747005094	7.471405856662727E-6	Concordant up
CENPA	PAICS	0.41367440172731446	2.7727169893410064E-8	TCGA only up
CHCHD3	SRSF12	0.3459786651908072	0.0	Concordant up
CENPA	PDCD5	0.3437623715799832	2.132859222570005E-9	Concordant up
CHCHD3	HNRNPU	0.4342842248363768	0.001526822204491296	TCGA only up
CHCHD3	HNRNPD	0.37970537724088876	2.132859222570005E-9	TCGA only up
CENPA	RAD51AP1	0.3699738882466694	0.019601786741922922	Concordant up
CENPA	ELAVL1	0.4344148067645391	0.0	TCGA only up
CENPA	PNPT1	0.3807867407608638	0.0	TCGA only up
CHCHD3	WDHD1	0.42603343189868725	1.1052263205435509E-4	TCGA only up
CENPA	PPM1G	0.43701074258312383	0.0	Concordant up
CHCHD3	EBNA1BP2	0.4048498324109855	0.0	TCGA only up
FOXM1	MKI67	0.4922253645777094	0.0	Concordant up
HMGA1	KHSRP	0.3485996088494007	7.471405856662727E-6	TCGA only up
HMGA1	KIFC1	0.41376065076411517	0.0	Concordant up
HMGA1	KIF22	0.42550807251799383	0.0	TCGA only up
CHCHD3	LRPPRC	0.44168051604897796	0.0	TCGA only up
CHCHD3	LRRC59	0.43781019041481317	0.0	TCGA only up
CHCHD3	NDUFAF4	0.38579551085023983	0.019601786741922922	Concordant up
E2F7	STMN1	0.36994476829379735	2.7727169893410064E-8	Concordant up
ZNF232	PARP1	0.4510222878126226	0.0	Concordant up
FOXM1	MAGOHB	0.39494600625239834	1.1052263205435509E-4	TCGA only up
ZNF232	PCBP4	0.30550116738229777	0.0	TCGA only up
FOXM1	NCAPG	0.5005462458220425	0.0	Concordant up
FOXM1	NCAPH	0.5321581600762756	0.0	TCGA only up
CENPA	WRNIP1	0.3196438731397264	7.471405856662727E-6	TCGA only up
ZNF232	PELP1	0.4709045771049872	0.0	TCGA only up
E2F7	TCF20	0.5822210815799583	0.019601786741922922	TCGA only up
E2F7	TCF19	0.4723761797472978	7.471405856662727E-6	TCGA only up
FOXM1	NOP58	0.45651027828120355	0.019601786741922922	Concordant up
FOXM1	NOLC1	0.5341509192456145	0.0	Concordant up
ZNF232	PNPT1	0.40905015603602135	1.1052263205435509E-4	TCGA only up
FOXM1	KIF20B	0.48549887175506035	0.0	Concordant up
CENPA	RBM28	0.36056414936967396	2.7727169893410064E-8	Concordant up
CENPA	RBM17	0.3403572823486485	0.0	TCGA only up
ZNF232	PRPF3	0.4183120453359116	0.019601786741922922	TCGA only up
E2F7	TOP2A	0.5317056577606096	0.0	Concordant up
ZNF232	PSIP1	0.40456179043763374	0.001526822204491296	TCGA only up
ZNF232	PTBP1	0.3989557510811931	2.7727169893410064E-8	TCGA only up
CENPA	MTHFD2	0.38867908659835926	0.0	Concordant up
VEZF1	CEP290	0.524512967275833	0.019601786741922922	TCGA only down
ZNF232	AATF	0.35502495334641965	0.019601786741922922	TCGA only up
ZNF232	BMS1	0.4334685438420233	0.0	TCGA only up
ZNF232	CCT4	0.39558634792135283	0.019601786741922922	TCGA only up
ZNF232	CCT3	0.40358288718547913	0.0	Concordant up
ZNF232	CCT2	0.4665420951682386	0.0	TCGA only up
E2F7	BUB1B	0.492205532731314	2.7727169893410064E-8	TCGA only up
ZNF232	DKC1	0.40141233328983517	0.019601786741922922	Concordant up
VEZF1	PTPN11	0.6361540019685555	0.0	TCGA only down
CENPA	RRP1B	0.38077419024881015	7.471405856662727E-6	Concordant up
ZNF232	GNL3	0.4329910688150101	0.001526822204491296	TCGA only up
FOXM1	RACGAP1	0.5116268347595196	0.0	Concordant up
ZNF232	ILF3	0.44337310593305	0.0	TCGA only up
CHCHD3	PAK1IP1	0.4227288217356934	7.471405856662727E-6	Concordant up
ZNF232	NONO	0.4488129428909253	0.0	TCGA only up
ZNF232	MSH6	0.4149264689135649	0.019601786741922922	Concordant up
CHCHD3	DNAJA3	0.3877545164265466	4.734947474105411E-7	TCGA only up
E2F7	UHRF1	0.42565229700251916	0.0	Concordant up
FOXM1	PRRC2A	0.4632084014911379	0.001526822204491296	TCGA only up
ZNF232	TCF3	0.4013373078881167	0.0	TCGA only up
HMGA1	MRTO4	0.3841719735350177	0.0	TCGA only up
CHCHD3	SLC25A4	0.3112236410266412	0.019601786741922922	TCGA only down
HMGA1	MYBL2	0.3441511268407631	0.0	TCGA only up
E2F7	CSRP2	0.3536889314331722	4.734947474105411E-7	Concordant up
CENPA	AHSA1	0.3421316157890383	7.471405856662727E-6	TCGA only up
FOXM1	PARP1	0.4828968971042235	0.0	Concordant up
FOXM1	PAICS	0.40081118311895847	0.0	TCGA only up
CENPA	SSBP1	0.31601291746641896	1.1052263205435509E-4	TCGA only up
CENPA	SSRP1	0.41206032158886835	0.0	TCGA only up
CENPA	SUMO2	0.4001521683542482	4.734947474105411E-7	TCGA only up
VEZF1	SYNE2	0.5665891013321641	0.001526822204491296	TCGA only down
CENPA	AURKA	0.4901569960215152	0.0	Concordant up
CENPA	AURKB	0.43287675202372694	0.0	Concordant up
HMGA1	CIAPIN1	0.3386937055563357	2.7727169893410064E-8	TCGA only up
FOXM1	POLD1	0.46299393890129176	0.019601786741922922	Concordant up
FOXM1	POLD3	0.5595327292865433	0.0	TCGA only up
CENPA	FBXO45	0.42743363306606397	0.0	TCGA only up
ZNF232	MYBBP1A	0.43225667729058587	0.0	TCGA only up
HMGA1	NOP58	0.3710448173183964	2.7727169893410064E-8	Concordant up
HMGA1	NOP56	0.3638889620195202	2.132859222570005E-9	TCGA only up
HMGA1	NOLC1	0.40008029455128663	0.0	Concordant up
ZNF232	RRP12	0.35627685719661306	2.7727169893410064E-8	TCGA only up
ZNF232	RRP15	0.41912463793279175	0.0	TCGA only up
FOXM1	PRPF4	0.46692603801945043	0.0	TCGA only up
CHCHD3	MPHOSPH10	0.3629571233310013	1.1052263205435509E-4	TCGA only up
CENPA	TEX10	0.40828318841158784	0.001526822204491296	Concordant up
CHCHD3	HSPD1	0.39305485256430983	0.0	TCGA only up
CHCHD3	HSPA6	0.2579505358708553	0.019601786741922922	TCGA only up
HMGA1	ABT1	0.41951735414629404	0.0	TCGA only up
E2F7	DNMT1	0.49484415822919625	0.001526822204491296	Concordant up
CENPA	TICRR	0.3595066029549565	0.0	Concordant up
HMGA1	CMAS	0.33665623856169385	0.0	Concordant up
HMGA1	CCT2	0.3918624591580964	0.0	TCGA only up
HMGA1	CCT5	0.3919226664996869	0.0	TCGA only up
HMGA1	CCT4	0.391285537042495	0.0	TCGA only up
HMGA1	CCT3	0.4003674350393055	0.0	Concordant up
CENPA	ALYREF	0.35414513165582545	0.0	Concordant up
HMGA1	BTF3	0.34277578735525377	2.132859222570005E-9	Concordant down
HMGA1	BAG6	0.3983924804916452	0.0	TCGA only up
HMGA1	AHCY	0.36398832181942015	0.0	TCGA only up
HMGA1	DKC1	0.39899994335105826	0.0	Concordant up
HMGA1	DAXX	0.40164029136246737	0.0	TCGA only up
HMGA1	CTTN	0.3060783255547859	7.471405856662727E-6	TCGA only up
HMGA1	GMNN	0.3829816966621369	0.0	Concordant up
HMGA1	GNL3	0.3754914169568647	0.0	TCGA only up
HMGA1	GPN1	0.3731546335798794	0.0	Concordant up
HMGA1	FEN1	0.42756337964116053	0.0	Concordant up
HMGA1	HMBS	0.3502372427745739	0.019601786741922922	TCGA only up
HMGA1	HDGF	0.3989232624003725	0.0	Concordant up
CENPA	TRMT6	0.3488675828332717	2.7727169893410064E-8	TCGA only up
ZNF232	SCNM1	0.34607455441735685	0.001526822204491296	Concordant up
HMGA1	MTA2	0.3939314568691903	0.001526822204491296	TCGA only up
HMGA1	MCM3	0.37096619836626854	1.1052263205435509E-4	Concordant up
HMGA1	MDH2	0.36390971273496586	0.0	TCGA only up
ZNF232	SENP3	0.3924674550752879	0.0	TCGA only up
HMGA1	PLK1	0.4412840311141545	0.0	Concordant up
HMGA1	PPIF	0.34852682280950376	0.0	TCGA only up
E2F7	WDHD1	0.5152413772315396	0.0	TCGA only up
HMGA1	PRCC	0.38286035667075663	0.001526822204491296	TCGA only up
CENPA	BRIX1	0.35280638568995604	0.0	Concordant up
HMGA1	PCNA	0.36371237537419027	2.132859222570005E-9	Concordant up
HMGA1	PES1	0.35351700061669705	2.7727169893410064E-8	TCGA only up
ZNF232	ABCF1	0.43078090421668874	7.471405856662727E-6	TCGA only up
HMGA1	NOL7	0.40964753964103523	0.0	TCGA only up
HMGA1	RTKN	0.3599844007085377	0.0	Concordant up
E2F7	PTPN11	0.5349867661604568	0.0	TCGA only down
HMGA1	RCC1	0.3674944595361814	0.0	Concordant up
CENPA	BUB1B	0.4025656401775163	1.1052263205435509E-4	TCGA only up
HMGA1	SLU7	0.3516489508168152	4.734947474105411E-7	TCGA only down
ZNF232	FH	0.3599987700722041	0.001526822204491296	Concordant up
HMGA1	SLBP	0.3591786124185787	1.1052263205435509E-4	TCGA only up
ZNF232	AHSA1	0.33743421107082594	1.1052263205435509E-4	TCGA only up
ZNF232	SNRPE	0.36290470315285506	0.019601786741922922	TCGA only up
HMGA1	XPO5	0.40376062835320997	0.019601786741922922	Concordant up
CENPA	UBE2T	0.3551364286550726	7.471405856662727E-6	Concordant up
CENPA	HNRNPD	0.3887393647097075	0.0	TCGA only up
ZNF232	STMN1	0.3924464959738368	0.0	Concordant up
E2F7	HNRNPL	0.5209725298990349	1.1052263205435509E-4	TCGA only up
CHCHD3	SERBP1	0.45438032167146064	0.0	TCGA only up
FOXM1	HNRNPD	0.42111180536258974	1.1052263205435509E-4	TCGA only up
CENPA	CDCA2	0.36284032288233414	0.0	Concordant up
ZNF232	AURKB	0.3970205895423807	0.0	Concordant up
CENPA	CKAP5	0.42099975792226546	0.019601786741922922	Concordant up
HMGA1	UBE2E3	0.3603401207308213	0.019601786741922922	METABRIC only up
HMGA1	PAICS	0.31847609011520894	2.7727169893410064E-8	TCGA only up
CENPA	CPSF3	0.3928163944523477	0.0	Concordant up
HMGA1	UTP14A	0.38425006980285936	7.471405856662727E-6	TCGA only up
HMGA1	PFDN2	0.3250590583700696	0.019601786741922922	TCGA only up
E2F7	FANCI	0.5380694629285491	0.0	Concordant up
HMGA1	MPHOSPH10	0.36094534561737135	7.471405856662727E-6	TCGA only up
HMGA1	POLD3	0.39338360753658025	7.471405856662727E-6	TCGA only up
HMGA1	POLD2	0.37406805893390843	0.001526822204491296	TCGA only up
HMGA1	PPME1	0.34187578609774577	0.0	TCGA only up
CENPA	NCL	0.35386655943597395	0.001526822204491296	TCGA only up
CENPA	PBK	0.38296908523224926	0.0	Concordant up
CENPA	DSP	0.3515379077563498	0.001526822204491296	Concordant up
ZNF232	NDUFAF4	0.3613464029082348	0.019601786741922922	Concordant up
CENPA	RAN	0.4178742252445473	0.0	TCGA only up
HMGA1	PSMA7	0.3655886037049534	0.0	TCGA only up
ZNF232	C1QBP	0.4363362829894263	0.0	TCGA only up
HMGA1	PUF60	0.38973202010640534	2.132859222570005E-9	Concordant up
CHCHD3	RANBP1	0.3670957004125823	2.132859222570005E-9	Concordant up
FOXM1	SF3A3	0.48339092546484086	2.132859222570005E-9	TCGA only up
CHCHD3	KIF4A	0.4497601035488624	0.0	Concordant up
CHCHD3	KIF22	0.4084699341050413	0.019601786741922922	TCGA only up
CHCHD3	EEF1A1	0.4195108100070081	7.471405856662727E-6	TCGA only down
ZNF232	CHTOP	0.39097313222670915	0.0	TCGA only up
FOXM1	SSRP1	0.5233926679658008	0.0	TCGA only up
HMGA1	EIF1AD	0.37792080452417537	0.019601786741922922	TCGA only up
CHCHD3	KPNA2	0.41662986162138443	7.471405856662727E-6	Concordant up
CENPA	WDR43	0.3861890340420221	0.019601786741922922	Concordant up
HMGA1	EIF4G1	0.3648868438837369	0.001526822204491296	TCGA only up
HMGA1	EIF4A3	0.3677728099864724	4.734947474105411E-7	TCGA only up
HMGA1	EIF2S2	0.3674323440932883	1.1052263205435509E-4	TCGA only up
E2F7	CHAF1B	0.4152252768987319	4.734947474105411E-7	Concordant up
FOXM1	STIP1	0.4084762007492996	2.132859222570005E-9	TCGA only up
ZNF232	CPSF3	0.3742657166504581	1.1052263205435509E-4	Concordant up
FOXM1	RAD51AP1	0.78609640700069	0.0	Concordant up
CENPA	HNRNPA2B1	0.3885374404952993	0.0	TCGA only up
FOXM1	AURKA	0.4231828498878786	0.0	Concordant up
CHCHD3	ABT1	0.3570255531429973	0.019601786741922922	TCGA only up
CHCHD3	AHCY	0.3915725238445203	0.019601786741922922	TCGA only up
E2F7	GTSE1	0.4804577952233576	0.0	Concordant up
CHCHD3	BMS1	0.4207567617705726	0.001526822204491296	TCGA only up
CHCHD3	CALU	0.3995376763220503	0.0	Concordant up
CHCHD3	CCT4	0.4112229074926088	0.0	TCGA only up
CHCHD3	CCT2	0.425561751294077	2.132859222570005E-9	TCGA only up
CHCHD3	CCT8	0.37979048723301245	0.0	TCGA only up
CHCHD3	CKS2	0.34895220764838564	0.0	Concordant up
CHCHD3	DAXX	0.41348125856599044	0.019601786741922922	TCGA only up
CHCHD3	DKC1	0.44035454004474406	0.0	Concordant up
FOXM1	TCF19	0.4786457465168616	0.001526822204491296	TCGA only up
CENPA	CHRAC1	0.2946377635744754	0.019601786741922922	TCGA only up
CHCHD3	GNL3	0.40929381901399514	1.1052263205435509E-4	TCGA only up
CHCHD3	GPN1	0.4425131201041356	0.001526822204491296	Concordant up
HMGA1	RCOR2	0.3112224686725343	0.001526822204491296	Concordant up
