regulator	NES_TCGA	NES_MTBRC	size_TCGA	size_MTBRC	pval_TCGA	pval_MTBRC	NES_meta	pval_meta	FDR_meta
CENPA	2.97159382103882	3.45862070900689	101	65	0.00296258340218621	0.000542948916396505	4.54684829867959	5.44552188769388e-06	0.000408414141577041
FOXM1	2.70326062442384	3.33010746070998	97	75	0.00686628847892846	0.000868124730272794	4.26623548639262	1.98798943959655e-05	0.000745496039848706
HMGA1	2.38086388791544	2.59826449711588	129	36	0.0172720925954243	0.00936962911832029	3.52077544545407	0.000430286836393461	0.0107571709098365
CHCHD3	2.32877518479811	2.19465906820157	105	47	0.019870978683555	0.0281880629678242	3.19855103454758	0.00138120083833396	0.0258975157187617
E2F7	1.53724496197309	2.82410063502189	68	27	0.124233333708389	0.00474134952629005	3.08393704673324	0.00204280817081863	0.0306421225622795
ZNF232	1.78302696251484	2.37534486531456	56	30	0.0745819143855982	0.0175325606965532	2.94041291815327	0.00327775120922841	0.0351187629560187
TFDP1	2.08851235407235	1.83874946719768	54	44	0.0367516421726293	0.0659520439111256	2.77699346531507	0.00548642820069426	0.0514352643815087
YBX1	1.21027283230703	2.60515488959981	161	59	0.226174218870795	0.00918327350984906	2.69791481528746	0.00697752928976929	0.058146077414744
DNMT1	2.06729313285516	1.64533019670325	156	29	0.0387065409449125	0.0999017358696963	2.62522113232213	0.00865927090339873	0.0649445317754904
MTERF3	2.18424142029717	1.39646291456277	92	55	0.028944512771027	0.162575140792329	2.53194031660352	0.0113433297159859	0.0773408844271769
TEAD4	1.34277739896824	2.14104827020593	100	31	0.179344063799284	0.0322701456407688	2.46343675514482	0.0137612171000023	0.0860076068750146
E2F3	0.893452989673493	2.25296333968447	63	32	0.371614636414946	0.0242614605683915	2.2248523229251	0.0260911535401227	0.1505258858084
MSANTD3	1.52274235617139	1.57153860009286	79	35	0.127823176616637	0.116057595695363	2.18798704707085	0.02867054584809	0.153592209900482
CEBPZ	0.229628961184711	2.43938262643023	135	35	0.818380100384116	0.0147123812031955	1.88727619266799	0.0591231868501039	0.29561593425052
PA2G4	1.05399617653936	1.43809777606005	150	39	0.291884667646341	0.150406313569662	1.76217653323703	0.0780394756626077	0.365810042168474
NKRF	1.55609068813113	0.627748935822835	135	48	0.119686528985933	0.530168422468419	1.54420780712173	0.122537998129154	0.510574992204807
NFIL3	1.0904333093293	0.937071159187236	29	29	0.275522315714411	0.348721955649218	1.43366215857407	0.151668695950031	0.598692220855387
ELK1	1.5261252295657	0.426736540684366	103	32	0.126978679916981	0.669571232479328	1.38088180046379	0.167315306650985	0.60122455895741
CDC5L	0.855056588121928	1.05377154685714	58	97	0.392519821040014	0.291987523264577	1.34974531836337	0.177097690296039	0.60122455895741
TCF20	-0.146764386054651	2.03543283225776	55	28	0.883317996034683	0.0418073405582	1.33549026572328	0.181715939117836	0.60122455895741
KDM2B	0.572731427096387	1.30449936968257	58	29	0.5668265551277	0.192063374290383	1.32740262625463	0.184375531413606	0.60122455895741
YBX3	0.359089346891389	1.39043990252539	58	49	0.719528250821114	0.164395336686413	1.23710399614681	0.216048476397127	0.62644433149644
PCGF6	0.95002701083473	0.795247400049594	86	83	0.342098528098682	0.426469604188664	1.23409537096766	0.217167368252099	0.62644433149644
ZNF76	1.36767331971348	0.193033551546571	36	25	0.171414354871243	0.846932691881559	1.10358641211242	0.269772588111026	0.661795564053849
E2F5	0.936033499643486	0.623496189667609	31	84	0.349255939996523	0.532958505404716	1.10275401877362	0.270134001159762	0.661795564053849
SNAPC5	0.795674768307324	0.703659107408735	87	26	0.426221096061927	0.481645092228814	1.06018915078153	0.289058555836964	0.661795564053849
MYC	1.16735931931844	0.325363704789256	87	94	0.243065292354785	0.744905821757203	1.05551457277984	0.291190048183694	0.661795564053849
SETDB1	0.0387030051468471	1.3193181205037	53	42	0.969127177445479	0.187062782348973	0.960265946942091	0.336921383934095	0.743208935148738
ATF6	-0.327648683122652	1.63818878283552	34	27	0.743177308158221	0.101382318850718	0.926691791523864	0.354086580625367	0.758756958482929
ATF4	0.886006245502449	0.364062915655306	52	25	0.375614161728683	0.715811028335914	0.883932380806828	0.376732716126293	0.763647397553297
ZNF341	1.16627812797051	0.0341061002127119	34	36	0.243502013338565	0.97279254405033	0.848799827777735	0.395992686029101	0.766589845178849
ZNF184	0.706381424438213	0.439033587068045	28	33	0.479950969451883	0.660637199715862	0.809930721908942	0.417979993597582	0.767416919875523
AKAP8L	0.692595620545886	0.336016062342809	32	72	0.488563359466632	0.736858754002405	0.727338296178303	0.467018743638735	0.767416919875523
HSF2	0.056712855173381	0.961073157919036	52	30	0.954773933550914	0.336515384925174	0.719683391654469	0.471719954332102	0.767416919875523
ZNF384	-0.132411167744969	1.14451487179758	79	28	0.894659081870903	0.252410173886528	0.715665392399626	0.474197984941511	0.767416919875523
CXXC1	0.856067781765214	0.140715620548681	66	27	0.391960288297621	0.888094604471976	0.704832303150354	0.480914603121994	0.767416919875523
THAP11	0.574786765793713	0.369164250747728	86	62	0.565435518242691	0.712005300575038	0.667474164904388	0.504469306586742	0.788233291541784
MBD3	1.06313392677013	-0.186378651268755	39	41	0.287721220832475	0.85214783292169	0.619959600748104	0.535284384842566	0.819312833942703
ZGPAT	0.282988794537404	0.480116612892434	26	30	0.777185426731461	0.631144476000254	0.539597008353762	0.589474980213753	0.844536146271145
SAFB	0.879231020545441	-0.131112236626211	126	30	0.379276028152183	0.895686521299228	0.528999865242321	0.596805543364943	0.844536146271145
IRF3	0.319628289348705	0.280337439490262	26	34	0.749250126673471	0.779218629299819	0.424239835341563	0.671390911886063	0.887133926418361
THAP7	0.781309810912057	-0.217947758408032	39	26	0.434620301209313	0.827469815626485	0.398357127588768	0.690366955617464	0.887133926418361
GPBP1L1	-0.0126847095727208	0.537173826993621	33	29	0.989879337479951	0.591147548486701	0.370869811586866	0.710734501067838	0.888418126334798
GTF2B	0.398925291444371	-0.0402323170786746	64	29	0.689948252933023	0.967907913176752	0.253634234537956	0.799778145925701	0.939278377643596
MAFG	-0.354551391904734	0.710061483028746	36	27	0.722925696837348	0.47766601012135	0.251383596214036	0.801517548922535	0.939278377643596
YY1	0.0541231701264653	0.220386754208651	77	74	0.956837032208893	0.825569960439771	0.194107829000367	0.846091451562088	0.942953124664326
ZNF618	-0.0605048836485787	0.288424850869444	52	46	0.95175352638899	0.773021547358418	0.161163754389689	0.871964427697341	0.942953124664326
DR1	-0.371080076947176	0.529750653132852	32	27	0.710577889633879	0.596284823232422	0.112197040395668	0.910667175776555	0.948611641433911
PATZ1	1.14508872611648	-1.04354514329458	51	29	0.252172405118987	0.296695884335916	0.0718021559993419	0.942759357012014	0.95672917476641
PPARD	-0.537967720258445	0.637355122505127	27	79	0.590599334068017	0.523893553250501	0.0702775060931442	0.943972785769525	0.95672917476641
MTF1	-0.852907838941958	0.870220377997078	33	34	0.39371041425255	0.384179981632201	0.0122418137654328	0.990232689759061	0.990232689759061
RFX1	0.568426025141089	-0.759254676581216	72	52	0.569745722963804	0.44770022424381	-0.134936233477998	0.892662291348895	0.942953124664326
ATF1	-0.702680167090141	0.494497788323966	41	51	0.482255090142434	0.620954667928483	-0.147207171749109	0.882968500032452	0.942953124664326
THAP1	-0.303041234605604	0.0567043581937902	39	60	0.761858437477912	0.954780702267346	-0.174186475767106	0.861718913835793	0.942953124664326
ADNP	-0.530131043931088	0.247765157530987	48	57	0.596021076543142	0.804316114748003	-0.199662833049262	0.841744283353338	0.942953124664326
ZBTB41	-0.249739998926986	-0.0819761792412178	26	31	0.802788423417311	0.934665655899731	-0.234558759012022	0.814551222085439	0.939866794713967
POU2F1	-0.433327308647589	0.0730826618704526	25	60	0.664777001477924	0.941740338582715	-0.254731432622266	0.798930537169372	0.939278377643596
SP3	-0.780823909643991	0.323115649776577	58	42	0.434906069518436	0.746607658625209	-0.323648614357343	0.746204078273605	0.917464030664268
MGA	-0.848473332435869	0.299495992133029	48	28	0.396174417889337	0.764561629590489	-0.388185600045893	0.697878688782444	0.887133926418361
NFE2L2	-0.537922660036107	-0.0402539205749861	62	74	0.590630443654002	0.967890690032749	-0.408832580873355	0.68266252818748	0.887133926418361
GTF2I	-0.630044974590988	0.0385358550245586	50	70	0.52866515930455	0.969260444528882	-0.418260109579107	0.675756951625011	0.887133926418361
ZNF627	-0.0827650356415709	-0.59882199038364	27	45	0.934038371224352	0.549291596407881	-0.481954808071198	0.629838050122532	0.874775069614628
ZNF143	-0.587212010415964	-0.242677068662396	80	62	0.557061327031593	0.808255573055968	-0.586820195448967	0.557324471817117	0.81959481149576
ZNF668	0.160288869475726	-0.991460812607366	50	32	0.872653526384647	0.321460618322384	-0.587727317320382	0.556715336644673	0.81959481149576
ZNF148	-0.617679371038945	-0.43449109728782	39	26	0.536786712869809	0.663931858316692	-0.743996873118081	0.456878366809196	0.767416919875523
SON	-1.07065138157027	-0.0419918599273322	43	95	0.284326211097709	0.966505187231964	-0.786757581104333	0.431423789454586	0.767416919875523
MAX	-1.15668546263783	0.03464245480194	54	63	0.247400891199637	0.97236484776528	-0.793404219623712	0.42754235309013	0.767416919875523
NFAT5	-1.18153935429478	-0.0121649255692616	29	26	0.237388529271009	0.990294033095816	-0.844076391023268	0.398626719493001	0.766589845178849
ELF2	-1.12280919221302	-0.152511822179123	27	44	0.261518540528754	0.878783266761094	-0.901788137466394	0.367169422491631	0.763647397553297
ZNF277	-0.769293399930776	-0.744127786182387	29	27	0.441719154445293	0.456799170654685	-1.07015038349201	0.284551623559942	0.661795564053849
IKZF5	-1.20662298261266	-0.377268991965435	27	73	0.22757737168876	0.705973713368918	-1.11998075589112	0.262721962825557	0.661795564053849
MECP2	-1.19849158986036	-0.507231126085989	26	50	0.230725695167741	0.611992657689056	-1.2061280992696	0.227768101865745	0.632689171849292
GPBP1	-1.48801523906621	-0.28875598058848	51	51	0.136746874815304	0.772768120151865	-1.25636697803492	0.208982948399256	0.62644433149644
ARID2	-1.1628012789568	-1.20165611721526	26	29	0.244910138144033	0.229496789695137	-1.67192385865995	0.0945393374027219	0.417085312070832
VEZF1	-1.25006239868477	-3.02523308866592	37	29	0.211276754097249	0.00248441580422381	-3.02309043068192	0.00250207462496237	0.0312759328120296
